"","year","iso2","legal_form","number_firms_eurostat"
"1224",2015,"PL","Sole proprietorship",1830896
"1225",2016,"PL","Sole proprietorship",1776289
"1226",2017,"PL","Sole proprietorship",1835418
"1227",2018,"PL","Sole proprietorship",1761973
"1228",2019,"PL","Sole proprietorship",1818922
"1229",2020,"PL","Sole proprietorship",1855789
"1230",2004,"PT","Sole proprietorship",558066
"1231",2005,"PT","Sole proprietorship",580472
"1232",2006,"PT","Sole proprietorship",589689
"1233",2007,"PT","Sole proprietorship",622586
"1234",2008,"PT","Sole proprietorship",633219
"1235",2009,"PT","Sole proprietorship",598620
"1236",2010,"PT","Sole proprietorship",557038
"1237",2011,"PT","Sole proprietorship",528643
"1238",2012,"PT","Sole proprietorship",496630
"1239",2013,"PT","Sole proprietorship",481226
"1240",2014,"PT","Sole proprietorship",479850
"1241",2015,"PT","Sole proprietorship",496940
"1242",2016,"PT","Sole proprietorship",515694
"1243",2017,"PT","Sole proprietorship",538926
"1244",2018,"PT","Sole proprietorship",550269
"1245",2019,"PT","Sole proprietorship",562427
"1246",2020,"PT","Sole proprietorship",537584
"1247",2009,"RO","Sole proprietorship",0
"1248",2010,"RO","Sole proprietorship",0
"1249",2011,"RO","Sole proprietorship",203952
"1250",2012,"RO","Sole proprietorship",218215
"1251",2013,"RO","Sole proprietorship",257735
"1252",2014,"RO","Sole proprietorship",263078
"1253",2015,"RO","Sole proprietorship",258169
"1254",2016,"RO","Sole proprietorship",247451
"1255",2017,"RO","Sole proprietorship",245450
"1256",2018,"RO","Sole proprietorship",241213
"1257",2019,"RO","Sole proprietorship",231495
"1258",2020,"RO","Sole proprietorship",242211
"1259",2017,"RS","Sole proprietorship",219310
"1260",2018,"RS","Sole proprietorship",233138
"1261",2019,"RS","Sole proprietorship",261333
"1262",2020,"RS","Sole proprietorship",264685
"1263",2008,"SE","Sole proprietorship",285018
"1264",2009,"SE","Sole proprietorship",295437
"1265",2010,"SE","Sole proprietorship",299794
"1266",2011,"SE","Sole proprietorship",316750
"1267",2012,"SE","Sole proprietorship",319868
"1268",2013,"SE","Sole proprietorship",305895
"1269",2014,"SE","Sole proprietorship",300409
"1270",2015,"SE","Sole proprietorship",298102
"1271",2016,"SE","Sole proprietorship",296948
"1272",2017,"SE","Sole proprietorship",291085
"1273",2018,"SE","Sole proprietorship",284287
"1274",2019,"SE","Sole proprietorship",282203
"1275",2020,"SE","Sole proprietorship",279285
"1276",2004,"SI","Sole proprietorship",56796
"1277",2005,"SI","Sole proprietorship",57146
"1278",2006,"SI","Sole proprietorship",60817
"1279",2007,"SI","Sole proprietorship",63395
"1280",2008,"SI","Sole proprietorship",67407
"1281",2009,"SI","Sole proprietorship",70866
"1282",2010,"SI","Sole proprietorship",72437
"1283",2011,"SI","Sole proprietorship",72848
"1284",2012,"SI","Sole proprietorship",73704
"1285",2013,"SI","Sole proprietorship",78507
"1286",2014,"SI","Sole proprietorship",79929
"1287",2015,"SI","Sole proprietorship",82595
"1288",2016,"SI","Sole proprietorship",84091
"1289",2017,"SI","Sole proprietorship",83991
"1290",2018,"SI","Sole proprietorship",87195
"1291",2019,"SI","Sole proprietorship",89796
"1292",2020,"SI","Sole proprietorship",91243
"1293",2008,"SK","Sole proprietorship",265550
"1294",2009,"SK","Sole proprietorship",268027
"1295",2010,"SK","Sole proprietorship",259037
"1296",2011,"SK","Sole proprietorship",283695
"1297",2012,"SK","Sole proprietorship",275152
"1298",2013,"SK","Sole proprietorship",263389
"1299",2014,"SK","Sole proprietorship",292141
"1300",2015,"SK","Sole proprietorship",281853
"1301",2016,"SK","Sole proprietorship",280532
"1302",2017,"SK","Sole proprietorship",298949
"1303",2018,"SK","Sole proprietorship",311323
"1304",2019,"SK","Sole proprietorship",322374
"1305",2020,"SK","Sole proprietorship",321787
"1306",2009,"TR","Sole proprietorship",1954352
"1307",2010,"TR","Sole proprietorship",1986101
"1308",2011,"TR","Sole proprietorship",2019782
"1309",2012,"TR","Sole proprietorship",2073598
"1310",2013,"TR","Sole proprietorship",2114278
"1311",2014,"TR","Sole proprietorship",2138039
"1312",2015,"TR","Sole proprietorship",2159527
"1313",2016,"TR","Sole proprietorship",2174457
"1314",2017,"TR","Sole proprietorship",2246164
"1315",2018,"TR","Sole proprietorship",2249078
"1316",2019,"TR","Sole proprietorship",2279686
"1317",2020,"TR","Sole proprietorship",2322837
"1318",2008,"GB","Sole proprietorship",506230
"1319",2009,"GB","Sole proprietorship",489210
"1320",2010,"GB","Sole proprietorship",461065
"1321",2011,"GB","Sole proprietorship",455085
"1322",2012,"GB","Sole proprietorship",440245
"1323",2013,"GB","Sole proprietorship",435190
"1324",2014,"GB","Sole proprietorship",422725
"1325",2015,"GB","Sole proprietorship",401025
"1326",2016,"GB","Sole proprietorship",393340
"1327",2017,"GB","Sole proprietorship",385850
"1328",2018,"GB","Sole proprietorship",372200
