"iso2","year","number_firms"
"CG",2013,312
"CG",2014,332
"CG",2015,342
"CG",2016,354
"CG",2017,372
"CG",2018,404
"CG",2019,584
"CG",2020,773
"CG",2021,959
"CG",2022,978
"CH",2000,235524
"CH",2001,252753
"CH",2002,269771
"CH",2003,288062
"CH",2004,308860
"CH",2005,330218
"CH",2006,353190
"CH",2007,379605
"CH",2008,408550
"CH",2009,437835
"CH",2010,471134
"CH",2011,508408
"CH",2012,547452
"CH",2013,578862
"CH",2014,591968
"CH",2015,604085
"CH",2016,615847
"CH",2017,630059
"CH",2018,643199
"CH",2019,657561
"CH",2020,672935
"CH",2021,694847
"CH",2022,687508
"CI",2000,511
"CI",2001,541
"CI",2002,571
"CI",2003,601
"CI",2004,629
"CI",2005,672
"CI",2006,718
"CI",2007,766
"CI",2008,821
"CI",2009,873
"CI",2010,920
"CI",2011,982
"CI",2012,1063
"CI",2013,1987
"CI",2014,5098
"CI",2015,10528
"CI",2016,11797
"CI",2017,19624
"CI",2018,21125
"CI",2019,21162
"CI",2020,21198
"CI",2021,22659
"CI",2022,22658
"CL",2000,72785
"CL",2001,80912
"CL",2002,90968
"CL",2003,102454
"CL",2004,114953
"CL",2005,129153
"CL",2006,145260
"CL",2007,162555
"CL",2008,182191
"CL",2009,204077
"CL",2010,230776
"CL",2011,264719
"CL",2012,306547
"CL",2013,357434
"CL",2014,435367
"CL",2015,527481
"CL",2016,620899
"CL",2017,724656
"CL",2018,840168
"CL",2019,961309
"CL",2020,1101015
"CL",2021,1266384
"CL",2022,1300172
"CM",2000,82
"CM",2001,86
"CM",2002,90
"CM",2003,90
"CM",2004,92
"CM",2005,95
"CM",2006,97
"CM",2007,100
"CM",2008,102
"CM",2009,103
"CM",2010,103
"CM",2011,104
"CM",2012,104
"CM",2013,104
"CM",2014,104
"CM",2015,104
"CM",2016,104
"CM",2017,104
"CM",2018,105
"CM",2019,98
"CM",2020,98
"CM",2021,98
"CM",2022,98
"CN",2000,1874412
"CN",2001,2238439
"CN",2002,2694059
"CN",2003,3271439
"CN",2004,3915266
"CN",2005,4608436
"CN",2006,5373019
"CN",2007,6244794
"CN",2008,7223056
"CN",2009,8454516
"CN",2010,9983307
"CN",2011,11827071
"CN",2012,13822874
"CN",2013,16426482
"CN",2014,20075103
"CN",2015,24473573
"CN",2016,30339284
"CN",2017,36170474
"CN",2018,42530381
"CN",2019,45946892
"CN",2020,42621011
"CN",2021,42625750
"CN",2022,42625499
"CO",2000,280755
"CO",2001,326132
"CO",2002,375869
"CO",2003,432023
"CO",2004,502481
"CO",2005,582899
"CO",2006,664516
"CO",2007,757497
"CO",2008,863805
"CO",2009,975770
"CO",2010,1093212
"CO",2011,1239272
"CO",2012,1427514
"CO",2013,1613530
"CO",2014,1835190
"CO",2015,2046088
"CO",2016,2271438
"CO",2017,2546497
"CO",2018,2827250
"CO",2019,3114246
"CO",2020,3368685
"CO",2021,3636508
"CO",2022,3695041
"CR",2000,143051
"CR",2001,155282
"CR",2002,167426
"CR",2003,179012
"CR",2004,211098
"CR",2005,250061
"CR",2006,296183
"CR",2007,350887
"CR",2008,404028
"CR",2009,446728
"CR",2010,473836
"CR",2011,486777
"CR",2012,495169
"CR",2013,504577
"CR",2014,515336
"CR",2015,518913
"CR",2016,514213
"CR",2017,513697
"CR",2018,514167
"CR",2019,514294
"CR",2020,514121
"CR",2021,514131
"CR",2022,514131
"CU",2000,5476
"CU",2001,5762
"CU",2002,5978
"CU",2003,6171
"CU",2004,6279
"CU",2005,6384
"CU",2006,6508
"CU",2007,6656
"CU",2008,7023
"CU",2009,7138
"CU",2010,7262
"CU",2011,7389
"CU",2012,7592
"CU",2013,7877
"CU",2014,8080
"CU",2015,8130
"CU",2016,8128
"CU",2017,8129
"CU",2018,8132
"CU",2019,8137
"CU",2020,8138
"CU",2021,8545
"CU",2022,8545
"CV",2000,28
"CV",2001,29
"CV",2002,31
"CV",2003,32
"CV",2004,34
"CV",2005,36
"CV",2006,39
"CV",2007,41
"CV",2008,44
"CV",2009,44
"CV",2010,44
"CV",2011,44
"CV",2012,44
"CV",2013,44
"CV",2014,44
"CV",2015,44
"CV",2016,44
"CV",2017,44
"CV",2018,44
"CV",2019,44
"CV",2020,44
"CV",2021,44
"CV",2022,44
"CY",2000,70744
"CY",2001,76552
"CY",2002,82373
"CY",2003,89190
"CY",2004,97674
"CY",2005,108287
"CY",2006,125424
"CY",2007,148994
"CY",2008,169501
"CY",2009,184136
"CY",2010,201681
"CY",2011,219945
"CY",2012,237417
"CY",2013,248511
"CY",2014,259604
"CY",2015,268743
"CY",2016,253592
"CY",2017,261920
"CY",2018,231600
"CY",2019,240293
"CY",2020,249382
"CY",2021,259512
"CY",2022,248065
"CZ",2000,631751
"CZ",2001,666051
"CZ",2002,701103
"CZ",2003,742145
"CZ",2004,778743
"CZ",2005,813943
"CZ",2006,853508
"CZ",2007,904369
"CZ",2008,960249
"CZ",2009,1016607
"CZ",2010,1077142
"CZ",2011,1137593
"CZ",2012,1195098
"CZ",2013,1247161
"CZ",2014,1288828
"CZ",2015,1358575
"CZ",2016,1428628
"CZ",2017,1469001
"CZ",2018,1508595
"CZ",2019,1480026
"CZ",2020,1511429
"CZ",2021,1541477
"CZ",2022,1512085
"DE",2000,823350
"DE",2001,874763
"DE",2002,926410
"DE",2003,979775
"DE",2004,1036332
"DE",2005,1097687
"DE",2006,1165944
"DE",2007,1237514
"DE",2008,1306758
"DE",2009,1386013
"DE",2010,1469033
"DE",2011,1546952
"DE",2012,1617053
"DE",2013,1654887
"DE",2014,1711271
"DE",2015,1766009
"DE",2016,1789719
"DE",2017,1835739
"DE",2018,1893040
"DE",2019,1937496
"DE",2020,2001942
"DE",2021,2080481
"DE",2022,2064524
"DJ",2000,87
"DJ",2001,91
"DJ",2002,93
"DJ",2003,95
"DJ",2004,99
"DJ",2005,110
"DJ",2006,123
"DJ",2007,130
"DJ",2008,143
"DJ",2009,166
"DJ",2010,177
"DJ",2011,183
"DJ",2012,188
"DJ",2013,190
"DJ",2014,196
"DJ",2015,198
"DJ",2016,205
"DJ",2017,214
"DJ",2018,217
"DJ",2019,223
"DJ",2020,223
"DJ",2021,324
"DJ",2022,325
"DK",2000,223541
"DK",2001,239443
"DK",2002,255950
"DK",2003,274345
"DK",2004,296463
"DK",2005,323715
"DK",2006,361545
"DK",2007,404464
"DK",2008,444180
"DK",2009,479430
"DK",2010,522110
"DK",2011,568963
"DK",2012,617025
"DK",2013,658787
"DK",2014,710854
"DK",2015,776978
"DK",2016,841897
"DK",2017,873928
"DK",2018,904581
"DK",2019,935341
"DK",2020,967282
"DK",2021,991165
"DK",2022,963824
"DM",2000,3
"DM",2001,3
"DM",2002,3
"DM",2003,3
"DM",2004,3
"DM",2005,3
"DM",2006,3
"DM",2007,3
"DM",2008,3
"DM",2009,3
"DM",2010,3
"DM",2011,3
"DM",2012,3
"DM",2013,3
"DM",2014,3
"DM",2015,3
"DM",2016,3
"DM",2017,3
"DM",2018,3
"DM",2019,3
"DM",2020,3
"DM",2021,3
"DM",2022,3
"DO",2000,24427
"DO",2001,27190
"DO",2002,31350
"DO",2003,36165
"DO",2004,42332
"DO",2005,49794
"DO",2006,57767
"DO",2007,66824
"DO",2008,74845
"DO",2009,80041
"DO",2010,87834
"DO",2011,96879
"DO",2012,106556
"DO",2013,117592
"DO",2014,129295
"DO",2015,141585
"DO",2016,143960
"DO",2017,143953
"DO",2018,143953
"DO",2019,143950
"DO",2020,143950
"DO",2021,143949
"DO",2022,143949
"DZ",2000,273998
"DZ",2001,317007
"DZ",2002,359804
"DZ",2003,406987
"DZ",2004,457371
"DZ",2005,517057
"DZ",2006,575723
"DZ",2007,634564
"DZ",2008,699839
"DZ",2009,780774
"DZ",2010,871484
"DZ",2011,1038544
"DZ",2012,1156914
"DZ",2013,1277975
"DZ",2014,1400078
"DZ",2015,1510705
"DZ",2016,1616611
"DZ",2017,1727583
"DZ",2018,1846038
"DZ",2019,1917245
"DZ",2020,1854309
"DZ",2021,1854309
"DZ",2022,1854309
"EC",2000,15964
"EC",2001,17852
"EC",2002,19899
"EC",2003,22043
"EC",2004,24315
"EC",2005,26959
"EC",2006,29980
"EC",2007,33313
"EC",2008,37276
"EC",2009,41367
"EC",2010,46367
"EC",2011,51949
"EC",2012,58751
"EC",2013,66590
"EC",2014,74656
"EC",2015,82374
"EC",2016,88351
"EC",2017,89664
"EC",2018,90119
"EC",2019,99194
"EC",2020,101334
"EC",2021,101453
"EC",2022,97304
"EE",2000,44365
"EE",2001,52005
"EE",2002,58327
"EE",2003,64839
"EE",2004,72661
"EE",2005,81298
"EE",2006,92147
"EE",2007,103168
"EE",2008,113461
"EE",2009,135354
"EE",2010,151588
"EE",2011,168976
"EE",2012,187497
"EE",2013,203007
"EE",2014,215560
"EE",2015,233749
"EE",2016,247839
"EE",2017,263232
"EE",2018,279273
"EE",2019,299599
"EE",2020,308143
"EE",2021,329647
"EE",2022,333784
"EG",2000,5769
"EG",2001,6044
"EG",2002,6313
"EG",2003,6578
"EG",2004,6882
"EG",2005,7254
"EG",2006,7569
"EG",2007,7966
"EG",2008,8319
"EG",2009,8602
"EG",2010,8954
"EG",2011,9234
"EG",2012,9491
"EG",2013,47417
"EG",2014,57311
"EG",2015,90177
"EG",2016,116235
"EG",2017,124896
"EG",2018,125013
"EG",2019,126843
"EG",2020,126948
"EG",2021,126987
"EG",2022,126987
"ER",2000,10
"ER",2001,11
"ER",2002,12
"ER",2003,14
"ER",2004,14
"ER",2005,14
"ER",2006,15
"ER",2007,15
"ER",2008,16
"ER",2009,16
"ER",2010,17
"ER",2011,17
"ER",2012,17
"ER",2013,17
"ER",2014,17
"ER",2015,17
"ER",2016,18
"ER",2017,18
"ER",2018,18
"ER",2019,18
"ER",2020,18
"ER",2021,18
"ER",2022,18
"ES",2000,679388
"ES",2001,738940
"ES",2002,823938
"ES",2003,899579
"ES",2004,991558
"ES",2005,1086022
"ES",2006,1196344
"ES",2007,1298500
"ES",2008,1404574
"ES",2009,1513558
"ES",2010,1602297
"ES",2011,1713479
"ES",2012,1832207
"ES",2013,1931404
"ES",2014,1987255
"ES",2015,2099014
"ES",2016,2186911
"ES",2017,2284914
"ES",2018,2383183
"ES",2019,2480466
"ES",2020,2557077
"ES",2021,2666725
"ES",2022,2669592
"ET",2000,4215
"ET",2001,4323
"ET",2002,4485
"ET",2003,4774
"ET",2004,5247
"ET",2005,5598
"ET",2006,6049
"ET",2007,6577
"ET",2008,7288
"ET",2009,8137
"ET",2010,9652
"ET",2011,14566
"ET",2012,18770
"ET",2013,25829
"ET",2014,31772
"ET",2015,38430
"ET",2016,45852
"ET",2017,54355
"ET",2018,62192
"ET",2019,71642
"ET",2020,80046
"ET",2021,84103
"ET",2022,84215
"FI",2000,280223
"FI",2001,294820
"FI",2002,310911
"FI",2003,327496
