iso2,year,gdp,population
CY,1964,,612338
CZ,1964,,9727804
DE,1964,,75318337
DJ,1964,,102945
DM,1964,,62843
DK,1964,,4722072
DO,1964,1025599900,3752313
DZ,1964,2909292864,12179099
EC,1964,2244146868,5183283
EG,1964,,30026648
ER,1964,,1094042
ES,1964,21343844644,31609195
EE,1964,,1277086
ET,1964,,24073696
FI,1964,7766655086,4548543
FJ,1964,140032741.5,455214
FR,1964,94007851047,48733997
FM,1964,,49231
GA,1964,215679855.3,539830
GB,1964,94407558351,54000000
GE,1964,,3870300
GH,1964,1731092437,7640196
GN,1964,,3775510
GM,1964,,446375
GW,1964,,590481
GQ,1964,12712471.4,288852
GR,1964,6669673257,8510429
GD,1964,,97613
GT,1964,1299099900,4640795
GY,1964,194773376.9,635957
HN,1964,457000000,2334492
HR,1964,,4252876
HT,1964,325281200,4196349
HU,1964,,10119835
ID,1964,,98675061
IN,1964,56480289941,489059309
IE,1964,2766608946,2866550
IR,1964,5379845648,23948624
IQ,1964,2340521143,7997655
IS,1964,434267936.9,188983
IL,1964,3405333333,2475000
IT,1964,63175417019,51675350
JM,1964,897931401.4,1725181
JO,1964,,1029447
JP,1964,81749006382,96903000
KZ,1964,,10590934
KE,1964,998759333.6,9047387
KG,1964,,2495300
KH,1964,782857128.6,6040847
KI,1964,,52092
KN,1964,13416554.86,53255
KR,1964,3458939358,27984155
KW,1964,,465748
LA,1964,,2325513
LB,1964,,2030440
LR,1964,,1255197
LY,1964,,1652102
LC,1964,,95948
LI,1964,,18058
LK,1964,1309747899,10849977
LS,1964,51938961.22,834215
LT,1964,,2935200
LU,1964,903158753.9,327750
LV,1964,,2240623
MA,1964,2798339769,13044254
MC,1964,,22766
MD,1964,,2264461
MG,1964,802482182.9,5630024
MV,1964,,101241
MX,1964,20080000000,41333878
MH,1964,,17537
MK,1964,,1529507
ML,1964,,5647380
MT,1964,,321250
MM,1964,475197381.9,23737818
ME,1964,,521753
MN,1964,,1104017
MZ,1964,,7363639
MR,1964,224495789.3,937830
MU,1964,,736381
MW,1964,194736105.3,3990361
MY,1964,2674441396,8835925
NA,1964,,642054
NE,1964,582816358.4,3937008
NG,1964,5552822484,48856332
NI,1964,341973758.9,2020941
NL,1964,18699380731,12127120
NO,1964,7159202706,3694339
NP,1964,496098775.3,11002819
NR,1964,,5484
NZ,1964,7274144351,2585400
OM,1964,,580824
