iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
LV,2020,Limited liability enterprise,136308,81072,98737,95597,0.724366875,0.70133081
LV,2020,"Partnership, co-operatives, associations, etc.",2456,2200,1468,1194,0.59771987,0.486156352
LV,2020,Sole proprietorship,19920,28910,252,224,0.012650602,0.01124498
LV,2021,Limited liability enterprise,132861,NA,29576,28779,0.222608591,0.21660984
LV,2021,"Partnership, co-operatives, associations, etc.",2441,NA,497,387,0.20360508,0.158541581
LV,2021,Sole proprietorship,19541,NA,83,76,0.00424748,0.003889258
LV,2022,Limited liability enterprise,124523,NA,4,4,3.21E-05,3.21E-05
LV,2022,"Partnership, co-operatives, associations, etc.",2304,NA,0,0,0,0
LV,2022,Sole proprietorship,18665,NA,0,0,0,0
MK,2010,Limited liability enterprise,89371,50276,287,284,0.003211333,0.003177765
MK,2010,"Partnership, co-operatives, associations, etc.",45,1158,0,0,0,0
MK,2010,Sole proprietorship,112507,9483,1,1,8.89E-06,8.89E-06
MK,2011,Limited liability enterprise,95221,50789,387,386,0.00406423,0.004053728
MK,2011,"Partnership, co-operatives, associations, etc.",45,1547,0,0,0,0
MK,2011,Sole proprietorship,139836,8177,0,0,0,0
MK,2012,Limited liability enterprise,99862,49184,52091,51161,0.521629849,0.512316997
MK,2012,"Partnership, co-operatives, associations, etc.",48,1528,19,19,0.395833333,0.395833333
MK,2012,Sole proprietorship,168298,9015,25,25,0.000148546,0.000148546
MK,2013,Limited liability enterprise,102420,48123,48534,47909,0.473872291,0.467769967
MK,2013,"Partnership, co-operatives, associations, etc.",48,2021,18,18,0.375,0.375
MK,2013,Sole proprietorship,179231,8348,25,25,0.000139485,0.000139485
MK,2014,Limited liability enterprise,103670,47840,56966,51856,0.549493585,0.500202566
MK,2014,"Partnership, co-operatives, associations, etc.",48,1460,18,18,0.375,0.375
MK,2014,Sole proprietorship,191174,8462,27,27,0.000141233,0.000141233
MK,2015,Limited liability enterprise,104453,47101,57377,57377,0.549309259,0.549309259
MK,2015,"Partnership, co-operatives, associations, etc.",49,1410,19,19,0.387755102,0.387755102
MK,2015,Sole proprietorship,201255,8637,29,29,0.000144096,0.000144096
MK,2016,Limited liability enterprise,105679,47874,58537,53551,0.553913266,0.506732653
MK,2016,"Partnership, co-operatives, associations, etc.",49,1437,20,20,0.408163265,0.408163265
