iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_firms_worldbank,number_balance_sheets,number_income_statements,bs_share,is_share
NZ,2013,partnerships,1067,NA,NA,48,48,0.044985942,0.044985942
NZ,2013,private_limited_liability,463254,NA,547200,3282,3260,0.007084666,0.007037176
NZ,2013,public_limited_liability,13,NA,NA,10,10,0.769230769,0.769230769
NZ,2013,sole_proprietorships,4,NA,NA,0,0,0,0
NZ,2014,partnerships,1306,NA,NA,45,45,0.034456355,0.034456355
NZ,2014,private_limited_liability,506543,NA,557322,3332,3313,0.006577921,0.006540412
NZ,2014,public_limited_liability,16,NA,NA,10,10,0.625,0.625
NZ,2014,sole_proprietorships,4,NA,NA,0,0,0,0
NZ,2015,partnerships,1569,NA,NA,46,46,0.029318037,0.029318037
NZ,2015,private_limited_liability,555488,NA,570057,1476,1462,0.002657123,0.00263192
NZ,2015,public_limited_liability,32,NA,NA,10,10,0.3125,0.3125
NZ,2015,sole_proprietorships,4,NA,NA,0,0,0,0
NZ,2016,partnerships,1900,NA,NA,49,49,0.025789474,0.025789474
NZ,2016,private_limited_liability,605639,NA,577789,1496,1478,0.002470118,0.002440398
NZ,2016,public_limited_liability,32,NA,NA,21,21,0.65625,0.65625
NZ,2016,sole_proprietorships,54,NA,NA,0,0,0,0
NZ,2017,partnerships,2231,NA,NA,40,39,0.01792918,0.01748095
NZ,2017,private_limited_liability,630129,NA,593181,1546,1523,0.002453466,0.002416965
NZ,2017,public_limited_liability,33,NA,NA,22,22,0.666666667,0.666666667
NZ,2017,sole_proprietorships,721,NA,NA,0,0,0,0
NZ,2018,partnerships,2799,NA,NA,39,39,0.013933548,0.013933548
NZ,2018,private_limited_liability,645212,NA,616277,1555,1535,0.002410061,0.002379063
NZ,2018,public_limited_liability,34,NA,NA,27,27,0.794117647,0.794117647
NZ,2018,sole_proprietorships,6066,NA,NA,0,0,0,0
NZ,2019,partnerships,3484,NA,NA,34,33,0.009758898,0.009471871
NZ,2019,private_limited_liability,664062,NA,640228,1555,1534,0.002341649,0.002310025
NZ,2019,public_limited_liability,33,NA,NA,27,27,0.818181818,0.818181818
NZ,2019,sole_proprietorships,12761,NA,NA,1,1,7.84E-05,7.84E-05
NZ,2020,partnerships,6789,NA,NA,33,32,0.004860804,0.004713507
NZ,2020,private_limited_liability,693367,NA,668268,1523,1505,0.002196528,0.002170568
NZ,2020,public_limited_liability,33,NA,NA,29,29,0.878787879,0.878787879
NZ,2020,sole_proprietorships,40339,NA,NA,0,0,0,0
NZ,2021,partnerships,9602,NA,NA,33,33,0.003436784,0.003436784
NZ,2021,private_limited_liability,728146,NA,NA,1012,1000,0.001389831,0.001373351
NZ,2021,public_limited_liability,34,NA,NA,29,29,0.852941176,0.852941176
NZ,2021,sole_proprietorships,75152,NA,NA,1,1,1.33E-05,1.33E-05
NZ,2022,partnerships,10052,NA,NA,0,0,0,0
NZ,2022,private_limited_liability,716696,NA,NA,43,43,6.00E-05,6.00E-05
NZ,2022,public_limited_liability,34,NA,NA,2,2,0.058823529,0.058823529
NZ,2022,sole_proprietorships,84706,NA,NA,0,0,0,0
PL,2010,partnerships,149977,41727,NA,16299,15828,0.108676664,0.105536182
PL,2010,private_limited_liability,177433,123207,NA,69955,68093,0.394261496,0.383767394
PL,2010,public_limited_liability,7371,NA,NA,4565,4545,0.619318953,0.616605617
PL,2010,sole_proprietorships,896006,1792179,NA,397,396,0.000443077,0.000441961
PL,2011,partnerships,156544,43814,NA,17541,16979,0.112051564,0.108461519
PL,2011,private_limited_liability,196503,131906,NA,75664,72998,0.385052646,0.371485423
PL,2011,public_limited_liability,7910,NA,NA,4684,4659,0.59216182,0.589001264
PL,2011,sole_proprietorships,936496,1808011,NA,466,463,0.0004976,0.000494396
PL,2012,partnerships,166644,45814,NA,19866,19112,0.119212213,0.114687598
PL,2012,private_limited_liability,220151,140880,NA,89342,85392,0.405821459,0.387879228
PL,2012,public_limited_liability,8313,NA,NA,4825,4788,0.580416216,0.575965355
PL,2012,sole_proprietorships,1046685,1803185,NA,523,523,0.000499673,0.000499673
PL,2013,partnerships,181551,48391,NA,20868,20069,0.114942909,0.110541941
PL,2013,private_limited_liability,247874,155002,NA,93688,88855,0.377966225,0.358468415
PL,2013,public_limited_liability,8645,NA,NA,4763,4725,0.550954309,0.546558704
PL,2013,sole_proprietorships,1213018,1811856,NA,600,599,0.000494634,0.00049381
