regulation_ID	iso2	year	legal_form
EE_5	EE	2014	Limited liability enterprise
EE_5	EE	2015	Limited liability enterprise
EE_5	EE	2016	Limited liability enterprise
EE_5	EE	2017	Limited liability enterprise
EE_5	EE	2018	Limited liability enterprise
EE_5	EE	2019	Limited liability enterprise
EE_5	EE	2020	Limited liability enterprise
EE_5	EE	2021	Limited liability enterprise
EE_5	EE	2022	Limited liability enterprise
EE_6	EE	2010	"Partnership, co-operatives, associations, etc."
EE_6	EE	2011	"Partnership, co-operatives, associations, etc."
EE_6	EE	2012	"Partnership, co-operatives, associations, etc."
EE_6	EE	2013	"Partnership, co-operatives, associations, etc."
EE_6	EE	2014	"Partnership, co-operatives, associations, etc."
EE_6	EE	2015	"Partnership, co-operatives, associations, etc."
EE_6	EE	2016	"Partnership, co-operatives, associations, etc."
EE_6	EE	2017	"Partnership, co-operatives, associations, etc."
EE_6	EE	2018	"Partnership, co-operatives, associations, etc."
EE_6	EE	2019	"Partnership, co-operatives, associations, etc."
EE_6	EE	2020	"Partnership, co-operatives, associations, etc."
EE_6	EE	2021	"Partnership, co-operatives, associations, etc."
EE_6	EE	2022	"Partnership, co-operatives, associations, etc."
EE_7	EE	2010	"Partnership, co-operatives, associations, etc."
EE_7	EE	2011	"Partnership, co-operatives, associations, etc."
EE_7	EE	2012	"Partnership, co-operatives, associations, etc."
EE_7	EE	2013	"Partnership, co-operatives, associations, etc."
EE_7	EE	2014	"Partnership, co-operatives, associations, etc."
EE_7	EE	2015	"Partnership, co-operatives, associations, etc."
EE_7	EE	2016	"Partnership, co-operatives, associations, etc."
EE_7	EE	2017	"Partnership, co-operatives, associations, etc."
EE_7	EE	2018	"Partnership, co-operatives, associations, etc."
EE_7	EE	2019	"Partnership, co-operatives, associations, etc."
EE_7	EE	2020	"Partnership, co-operatives, associations, etc."
EE_7	EE	2021	"Partnership, co-operatives, associations, etc."
EE_7	EE	2022	"Partnership, co-operatives, associations, etc."
EE_8	EE	2010	Sole proprietorship
