"iso2","year","legal_form","number_firms_orbis","number_firms_eurostat","number_balance_sheets","number_income_statements","bs_share","is_share"
"BG",2017,"Partnership, co-operatives, associations, etc.",9982,10460,4792,4737,0.480064115407734,0.4745541975556
"BG",2017,"Sole proprietorship",671728,65902,12170,13785,0.0181174523021223,0.020521699259224
"BG",2018,"Limited liability enterprise",647028,281772,318844,310445,0.492782383451721,0.479801492362
"BG",2018,"Partnership, co-operatives, associations, etc.",9776,10031,4672,4614,0.477905073649754,0.471972176759411
"BG",2018,"Sole proprietorship",686159,60606,11512,11444,0.0167774524563549,0.0166783500617204
"BG",2019,"Limited liability enterprise",689116,285113,330572,323035,0.479704432925661,0.468767232222151
"BG",2019,"Partnership, co-operatives, associations, etc.",9680,8593,4499,4447,0.464772727272727,0.459400826446281
"BG",2019,"Sole proprietorship",698632,55957,11242,11166,0.0160914472855523,0.0159826632619176
"BG",2020,"Limited liability enterprise",719379,282130,324299,318763,0.450804096310846,0.44310857003054
"BG",2020,"Partnership, co-operatives, associations, etc.",9565,7808,4265,4231,0.445896497647674,0.442341871406168
"BG",2020,"Sole proprietorship",704445,52438,10609,10544,0.0150600827601871,0.0149678115395808
"BG",2021,"Limited liability enterprise",755174,NA,132833,131613,0.175897210444215,0.174281688723394
"BG",2021,"Partnership, co-operatives, associations, etc.",9564,NA,2159,2149,0.225742367210372,0.22469677959013
"BG",2021,"Sole proprietorship",714444,NA,6570,6551,0.00919596217478207,0.00916936806803612
"BG",2022,"Limited liability enterprise",768539,NA,0,0,0,0
"BG",2022,"Partnership, co-operatives, associations, etc.",9453,NA,0,0,0,0
"BG",2022,"Sole proprietorship",716348,NA,0,0,0,0
"CH",2010,"Limited liability enterprise",278850,NA,590,584,0.00211583288506365,0.00209431594046979
"CH",2010,"Partnership, co-operatives, associations, etc.",19629,NA,61,61,0.00310764684904988,0.00310764684904988
"CH",2010,"Sole proprietorship",138130,NA,0,0,0,0
"CH",2011,"Limited liability enterprise",302129,NA,581,576,0.00192301963730724,0.0019064704149552
"CH",2011,"Partnership, co-operatives, associations, etc.",20461,NA,62,62,0.00303015492888911,0.00303015492888911
"CH",2011,"Sole proprietorship",149157,NA,0,0,0,0
"CH",2012,"Limited liability enterprise",325560,NA,589,586,0.00180919031822091,0.00179997542695663
"CH",2012,"Partnership, co-operatives, associations, etc.",21472,NA,60,60,0.00279433681073025,0.00279433681073025
"CH",2012,"Sole proprietorship",161539,NA,0,0,0,0
"CH",2013,"Limited liability enterprise",346391,195117,578,574,0.00166863457768822,0.00165708693355197
"CH",2013,"Partnership, co-operatives, associations, etc.",21977,16123,60,60,0.00273012695090322,0.00273012695090322
