iso2,year,legal_form,number_firms_orbis,number_firms_eurostat,number_balance_sheets,number_income_statements,bs_share,is_share
BE,2022,"Partnership, co-operatives, associations, etc.",114205,NA,1,0,8.76E-06,0
BE,2022,Sole proprietorship,731276,NA,0,0,0,0
BG,2010,Limited liability enterprise,297233,193019,46805,46167,0.157469056,0.155322592
BG,2010,"Partnership, co-operatives, associations, etc.",10243,10914,1436,1427,0.140193303,0.139314654
BG,2010,Sole proprietorship,559557,119939,1593,4955,0.002846895,0.008855219
BG,2011,Limited liability enterprise,336902,200668,196257,184369,0.582534387,0.547248161
BG,2011,"Partnership, co-operatives, associations, etc.",10334,10567,5432,5343,0.525643507,0.517031159
BG,2011,Sole proprietorship,591175,108702,15127,18349,0.025588024,0.031038187
BG,2012,Limited liability enterprise,381222,214198,236754,222176,0.621039709,0.582799524
BG,2012,"Partnership, co-operatives, associations, etc.",10416,10931,5740,5633,0.551075269,0.540802611
BG,2012,Sole proprietorship,621327,98616,18471,21728,0.029728307,0.034970314
BG,2013,Limited liability enterprise,424501,226214,249646,234971,0.588092843,0.553522842
BG,2013,"Partnership, co-operatives, associations, etc.",10458,11300,5501,5399,0.526008797,0.516255498
BG,2013,Sole proprietorship,628836,89989,17237,20680,0.027410962,0.032886158
BG,2014,Limited liability enterprise,462932,237966,265446,250236,0.573401709,0.540545912
BG,2014,"Partnership, co-operatives, associations, etc.",10140,11429,5364,5242,0.528994083,0.516962525
BG,2014,Sole proprietorship,632723,83405,16377,19457,0.025883364,0.030751213
BG,2015,Limited liability enterprise,507680,250423,279872,264506,0.551276395,0.521009297
BG,2015,"Partnership, co-operatives, associations, etc.",10125,11421,5125,5012,0.50617284,0.495012346
BG,2015,Sole proprietorship,638339,77331,15087,17831,0.023634777,0.027933433
BG,2016,Limited liability enterprise,555883,264986,295418,280268,0.53143917,0.504185233
BG,2016,"Partnership, co-operatives, associations, etc.",10113,11065,4946,4827,0.48907347,0.477306437
BG,2016,Sole proprietorship,654549,71911,13094,15143,0.020004614,0.023135014
BG,2017,Limited liability enterprise,602249,271368,306028,296622,0.508141981,0.492523856
BG,2017,"Partnership, co-operatives, associations, etc.",9982,10460,4792,4737,0.480064115,0.474554198
BG,2017,Sole proprietorship,671728,65902,12170,13785,0.018117452,0.020521699
BG,2018,Limited liability enterprise,647028,281772,318844,310444,0.492782383,0.479799947
BG,2018,"Partnership, co-operatives, associations, etc.",9776,10031,4672,4614,0.477905074,0.471972177
BG,2018,Sole proprietorship,686159,60606,11512,11444,0.016777452,0.01667835
BG,2019,Limited liability enterprise,689116,285113,330572,323033,0.479704433,0.46876433
BG,2019,"Partnership, co-operatives, associations, etc.",9680,8593,4499,4447,0.464772727,0.459400826
BG,2019,Sole proprietorship,698632,55957,11242,11166,0.016091447,0.015982663
BG,2020,Limited liability enterprise,719379,282130,324299,318760,0.450804096,0.4431044
BG,2020,"Partnership, co-operatives, associations, etc.",9565,7808,4265,4231,0.445896498,0.442341871
BG,2020,Sole proprietorship,704445,52438,10609,10544,0.015060083,0.014967812
BG,2021,Limited liability enterprise,755174,NA,132833,131609,0.17589721,0.174276392
BG,2021,"Partnership, co-operatives, associations, etc.",9564,NA,2159,2149,0.225742367,0.22469678
BG,2021,Sole proprietorship,714444,NA,6570,6551,0.009195962,0.009169368
BG,2022,Limited liability enterprise,768539,NA,0,0,0,0
BG,2022,"Partnership, co-operatives, associations, etc.",9453,NA,0,0,0,0
